"Product ID",Thumbnail,Name,SKU,Barcode,"Vendor SKU",Weight,"Weight Unit",Length,Width,Height,"Dimension Unit",Volume,"Volume Unit",Backordered,Expected,Processed,Put-Away,Available,Allocated,Reserved,Picked,"On Hand",Advertised,"Goods Type",Regulation,"Lot Type","Serial Number Type",Status,Availability,Visibility,"Created At","Updated At","Description of Goods for Export","Base Image","Requires Packaging","Storage Height","Merchant Name","Require Weight Check","Technical Name","HTS Base Code","Storage Length","Storage Width","HTS Country Code","Additional Regulatory Information","Is Box","Net Hazmat Weight","Customs Value","Valid Containers","Country of Manufacture","Other Special Features","Container Type","Container Meets HazMat Specs","Regulation Units","Bulk Quantity","Unit Quantity","Max Per Package","Ship Separate","External ID","Additional Handling Surcharge","Ship Separate Tag","Requires Infill","Special Supplies","Can Contain Other Items","Can Tip","Allowed Container Styles","Freight Class","Disallowed Containers","Freight Category",Details,Test,"Product Category","Customs Value Currency","Net Hazmat Weight Unit"
99120,"https://images-us-east.shipstream.io/cdn-cgi/image/fit=pad,width=250/xdebmt82bbc9/catalog/product/17712cc9731934aaacd44c911538fd05ae78cf7e.jpg",46X24,46X24,108634446246,,35.75,lb,48,26,2,in,2496,in^3,0,363,1,0,509,1,1,2,514,509,"Not Regulated",,"FIFO (Accepted Date)",,Enabled,Available,Visible,"2022-10-27 19:08:07","2025-11-05 12:55:20",,17712cc9731934aaacd44c911538fd05ae78cf7e.jpg,No,,"Keelan Scott",No,,,,,,,0,,,,China,,,No,,,,,0,,No,,None,,No,Yes,,,,,,Box1,"Accessories & Merch",,
143276,,"Dining U 60X36 2Bench",DN-U-60X36-2B-DN-46X14,R1103202530425,,1,lb,,,,,,,0,0,0,0,0,0,0,0,0,16,"Not Regulated",,,,Enabled,Available,Visible,"2024-05-17 23:01:05","2025-11-02 20:36:04",,no_selection,Yes,,"Keelan Scott",Yes,,,,,,,0,,,," ",,,No,,,,,0,,No,,"Use Default (Kraft Paper)",,No,Yes,,,,,,Box1,"Accessories & Merch",,
134641,"https://images-us-east.shipstream.io/cdn-cgi/image/fit=pad,width=250/xdebmt82bbc9/catalog/product/f6fac800d4e27a0da3db8bbec0cda3862651c7d0.jpg","Console U",CN-U,109104328123,,14.67,lb,29.95,13.05,6,in,2345.085,in^3,0,128,0,0,70,0,0,1,71,70,"Not Regulated",,"FIFO (Accepted Date)",,Enabled,Available,Visible,"2023-11-28 14:39:43","2025-10-29 12:44:48",,f6fac800d4e27a0da3db8bbec0cda3862651c7d0.jpg,No,,"Keelan Scott",No,,,,,,,0,,,,China,,,No,,,,,0,,No,,None,,No,Yes,,,,,,Box1,"Accessories & Merch",,
169456,"https://images-us-east.shipstream.io/cdn-cgi/image/fit=pad,width=250/xdebmt82bbc9/catalog/product/599344d7365abf39904373d55e2803928e1fc640.jpg","60X36 - REBOX","60X36 - REBOX",R1015202530255,,78,lb,63.98,20.16,4.213,in,5434.0824,in^3,0,0,0,0,1,0,0,0,1,1,"Not Regulated",,,,Enabled,Available,Visible,"2025-10-15 08:55:03","2025-10-15 09:02:19",,599344d7365abf39904373d55e2803928e1fc640.jpg,No,,"Keelan Scott",No,,,,,,,0,,,,Unknown,,,No,,,,,0,,No,,"Use Default (Kraft Paper)",,No,Yes,,,,,,Box1,"Accessories & Merch",,
168982,"https://images-us-east.shipstream.io/cdn-cgi/image/fit=pad,width=250/xdebmt82bbc9/catalog/product/92a289c9079d43f69673f61565c384acf611abc6.jpeg","Desk U",D-U-Rebox,R1014202530228,,21.67,lb,30.35,21.5,6.7,in,4371.9175,in^3,0,0,0,0,1,0,0,0,1,1,"Not Regulated",,"FIFO (Accepted Date)",,Enabled,"Not Available",Visible,"2025-09-25 14:43:47","2025-10-13 23:17:44",,92a289c9079d43f69673f61565c384acf611abc6.jpeg,No,,"Keelan Scott",No,,,,,,,0,,,,China,,,No,,,,,0,,No,,None,,No,Yes,,,,,,Box1,"Accessories & Merch",,
168981,"https://images-us-east.shipstream.io/cdn-cgi/image/fit=pad,width=250/xdebmt82bbc9/catalog/product/aebbe9a9b4e73aef3e8a2a1f4a9c8976d239f92b.jpg",36X22,36X22-Rebox,R0925202530049,,26.65,lb,39,24.25,2.5,in,2364.375,in^3,0,0,0,0,1,0,0,0,1,1,"Not Regulated",,,,Enabled,"Not Available",Visible,"2025-09-25 14:39:02","2025-09-25 14:40:16",,aebbe9a9b4e73aef3e8a2a1f4a9c8976d239f92b.jpg,No,,"Keelan Scott",No,,,,,,,0,,,,Unknown,,,No,,,,,0,,No,,"Use Default (Kraft Paper)",,No,Yes,,,,,,Box1,,,
145867,"https://images-us-east.shipstream.io/cdn-cgi/image/fit=pad,width=250/xdebmt82bbc9/catalog/product/5125ad7203704e9ec03fcb2ac1099ed3ef897e32.jpeg","30X7 Shelf",30X7-SHELF,108634430078,,9.775,lb,34.85,13.85,3.85,in,1858.2891,in^3,0,60,0,0,120,0,0,0,120,120,"Not Regulated",,"FIFO (Accepted Date)",,Enabled,Available,Visible,"2024-07-15 16:29:41","2025-09-19 13:52:49",,5125ad7203704e9ec03fcb2ac1099ed3ef897e32.jpeg,No,,"Keelan Scott",No,,,,,,,0,,,,Unknown,,,No,,,,,0,,No,,None,,Yes,Yes,,,,,,Box1,"Accessories & Merch",,
161050,,"End X Table",END-X-TABLE,108104322223,,24.64,lb,25.95,25.35,13.85,in,9110.9801,in^3,0,0,0,0,134,1,2,1,138,134,"Not Regulated",,,,Enabled,Available,Visible,"2025-04-26 14:13:16","2025-09-12 15:40:48",,no_selection,No,,"Keelan Scott",No,,,,,,,0,,,,Unknown,,,No,,,,,0,,No,,None,,No,Yes,,,,,,,,,
156227,,"BOX-48 (12 x 12 x 48)",BOX-48,R0720202528161,,2.465,lb,48.38,12.25,12.25,in,7260.0238,in^3,0,0,0,0,28,0,0,0,28,28,"Not Regulated",,,,Enabled,Available,Visible,"2025-02-05 12:44:40","2025-09-03 21:47:38",,no_selection,No,31,"Keelan Scott",Yes,,,25.5,0.5,,,1,,,,Unknown,,,No,,,,,0,,No,,"Use Default (Kraft Paper)",,Yes,Yes,,,,,,,,,
156226,,"BOX-36 (12 x 12 x 36)",BOX-36,R0717202528070,,1.985,lb,24.75,23.75,1.6,in,940.5,in^3,0,0,0,0,84,0,0,0,84,84,"Not Regulated",,,,Enabled,Available,Visible,"2025-02-05 12:44:25","2025-08-20 20:34:14",,no_selection,No,,"Keelan Scott",No,,,,,,,0,,,,Unknown,,,No,,,,,0,,No,,"Use Default (Kraft Paper)",,Yes,Yes,,,,,,,,,
