Order Number,Product SKU,Qty Ordered
14236-1-1,CHAIR-WOARMS,4
15363-1,42X42-OG,1
3830428614 1,CHAIR-WOARMS,6
15728-1,D-U-36X22,8
3530572016-1,42X42-OG,1
10616-1,,
10626-1,,
10784-1,CN-U-46X14,1
10978-1,CF-SP-42X42,1
10986-1,CF-SP-42X42,1
3586303477-1,D-SSB-46X24,5
11059-1,42X42-OG,1
11235-1,END-TABLE,2
3598656410-1,CF-SP-42X42,1
11705-1,42X42-OG,1
3627505905-1,42X42-OG,1
3620656756-1,CF-SP-42X42,1
11888-1,42X42-OG,3
3636837283-1,CF-SP-42X42,1
36591931391,B-DN-46X14,1
12408-1,42X42-OG,1
122641,MONITOR-STAND-BK,1
12383-1,D-SSB-58X28,2
53800000499,46X24,54
12938-1,42X42-OG,1
12975-1,CF-SP-42X42,1
12861-1,42X42-OG,2
3690743936-1,CF-SP-42X42,1
3704169792-1,B-DN-46X14,1
13233-1,42X42-OG,1
13261-1,42X42-OG,1
13318-1,C-TABLE,2
3723368051-1,CF-SP-42X42,1
133401,MONITOR-STAND-BK,1
13359-1,CF-SP-42X42,1
13582-1,42X42-OG,1
13724-1,D-SSW-58X28-KEYBOARD-TRAY,1
3739657419-1,END-X-TABLE,2
13830-1,END-X-TABLE,2
13917-1,END-X-TABLE,1
3744240982-1,CF-SP-42X42,1
14004-1,CHAIR-WOARMS,4
3747309692,CF-SP-42X42,1
13852-1,D-SSB,1
3760522885-1,CHAIR-WOARMS,6
14332-1-1,CHAIR-WOARMS,4
14330.1,B-U-58X14,1
56100001489,46X24,1
3798045148-1,CF-SP-42X42,1
3789219321-1,CHAIR-WARMS,2
14808-1,42X42-OG,1
14853-1,D-SSB-46X24-DRAWER,10
151731,MONITOR-STAND-BK,1
15707-1,CHAIR-WOARMS,8
11176-1,D-U-58X28,1
1167011,MONITOR-STAND-BK,1
36640361091,B-DN-46X14,1
129611,MONITOR-STAND-BK,1
13024,D-SSB-46X24,6
13463-1-1,D-U-46X24-DRAWER,1
53800000619,D-SSB-58X28-DRAWER,5
